feature,model,method,sens_pct,sub_method,dir_pct,dir_abs,var_pct
event_type_1,LSTM,DeepLIFTSHAP,1.4171722,baseNoCats,2.9909706,2.63e-07,1.4501373
sell_price,LSTM,DeepLIFTSHAP,1.1237803,baseNoCats,2.4301264,2.13e-07,0.95992994
event_name_1,LSTM,DeepLIFTSHAP,0.825187,baseNoCats,2.256854,1.98e-07,0.9808991
state_ur_mom_delta,LSTM,DeepLIFTSHAP,0.03467036,baseNoCats,-0.3038857,-2.67e-08,2.2701638
state_cpi_mom_delta,LSTM,DeepLIFTSHAP,0.008034464,baseNoCats,-0.12339511,-1.08e-08,0.65341026
state_gas_wow_delta,LSTM,DeepLIFTSHAP,0.00552479,baseNoCats,0.008963917,7.87e-10,0.19408986
event_name_2,LSTM,DeepLIFTSHAP,0.0,baseNoCats,0.0,0.0,0.0
event_type_2,LSTM,DeepLIFTSHAP,0.0,baseNoCats,0.0,0.0,0.0
day_of_week,LSTM,DeepLIFTSHAP,31.408134,FOODS,-11.537415,-1.03e-06,20.70244
state_ur,LSTM,DeepLIFTSHAP,23.215399,FOODS,8.389246,7.46e-07,31.308832
state_cpi,LSTM,DeepLIFTSHAP,10.308229,FOODS,-7.5871983,-6.75e-07,10.475313
consumer_sentiment,LSTM,DeepLIFTSHAP,7.703477,FOODS,10.192429,9.07e-07,12.619379
state_gas_price,LSTM,DeepLIFTSHAP,6.713766,FOODS,-10.7327385,-9.55e-07,8.500506
state_snap,LSTM,DeepLIFTSHAP,6.3540115,FOODS,70.19811,6.25e-06,2.7423043
month,LSTM,DeepLIFTSHAP,6.0005918,FOODS,-10.548496,-9.39e-07,5.804446
day_of_month,LSTM,DeepLIFTSHAP,5.1398344,FOODS,43.75716,3.89e-06,4.151468
event_type_1,LSTM,DeepLIFTSHAP,1.3727967,FOODS,3.5396154,3.15e-07,1.5527765
event_name_1,LSTM,DeepLIFTSHAP,1.0275946,FOODS,2.0704873,1.84e-07,1.3505448
sell_price,LSTM,DeepLIFTSHAP,0.7417723,FOODS,2.33001,2.07e-07,0.61394083
state_gas_wow_delta,LSTM,DeepLIFTSHAP,0.014397065,FOODS,-0.07121971,-6.34e-09,0.17804949
state_ur_mom_delta,LSTM,DeepLIFTSHAP,0.0,FOODS,0.0,0.0,0.0
state_cpi_mom_delta,LSTM,DeepLIFTSHAP,0.0,FOODS,0.0,0.0,0.0
event_type_2,LSTM,DeepLIFTSHAP,0.0,FOODS,0.0,0.0,0.0
event_name_2,LSTM,DeepLIFTSHAP,0.0,FOODS,0.0,0.0,0.0
item_category,LSTM,DeepLIFTSHAP,0.0,FOODS,0.0,0.0,0.0
day_of_week,LSTM,DeepLIFTSHAP,30.207363,HOBBIES,-6.32647,-5.29e-07,17.272749
state_ur,LSTM,DeepLIFTSHAP,24.695679,HOBBIES,1.6938217,1.42e-07,30.1195
state_cpi,LSTM,DeepLIFTSHAP,10.168793,HOBBIES,-7.7669725,-6.49e-07,10.028667
consumer_sentiment,LSTM,DeepLIFTSHAP,7.851801,HOBBIES,8.991263,7.52e-07,11.979536
state_gas_price,LSTM,DeepLIFTSHAP,6.5506725,HOBBIES,-8.097407,-6.77e-07,8.229016
month,LSTM,DeepLIFTSHAP,6.092705,HOBBIES,-9.795961,-8.19e-07,5.7214985
state_snap,LSTM,DeepLIFTSHAP,5.2903028,HOBBIES,66.79376,5.58e-06,2.5071883
day_of_month,LSTM,DeepLIFTSHAP,5.139299,HOBBIES,47.122944,3.94e-06,4.0306387
sell_price,LSTM,DeepLIFTSHAP,1.5054598,HOBBIES,1.9492415,1.63e-07,1.2507647
event_type_1,LSTM,DeepLIFTSHAP,1.4303043,HOBBIES,4.5912986,3.84e-07,1.3660097
event_name_1,LSTM,DeepLIFTSHAP,0.77246463,HOBBIES,2.155868,1.8e-07,0.9518266
state_ur_mom_delta,LSTM,DeepLIFTSHAP,0.18146642,HOBBIES,-1.7396222,-1.45e-07,4.9488263
state_cpi_mom_delta,LSTM,DeepLIFTSHAP,0.10859887,HOBBIES,0.42417085,3.55e-08,1.4236782
state_gas_wow_delta,LSTM,DeepLIFTSHAP,0.005096012,HOBBIES,0.004074364,3.41e-10,0.170096
event_type_2,LSTM,DeepLIFTSHAP,0.0,HOBBIES,0.0,0.0,0.0
event_name_2,LSTM,DeepLIFTSHAP,0.0,HOBBIES,0.0,0.0,0.0
item_category,LSTM,DeepLIFTSHAP,0.0,HOBBIES,0.0,0.0,0.0
day_of_week,LSTM,DeepLIFTSHAP,31.314833,HOUSEHOLD,-0.68548757,-5.95e-08,17.162064
state_ur,LSTM,DeepLIFTSHAP,23.234034,HOUSEHOLD,2.9008281,2.52e-07,31.172329
state_cpi,LSTM,DeepLIFTSHAP,10.379645,HOUSEHOLD,-7.747409,-6.73e-07,11.024309
state_gas_price,LSTM,DeepLIFTSHAP,7.358393,HOUSEHOLD,-8.194701,-7.12e-07,8.988058
consumer_sentiment,LSTM,DeepLIFTSHAP,7.065452,HOUSEHOLD,7.1891637,6.25e-07,12.634166
month,LSTM,DeepLIFTSHAP,6.3774834,HOUSEHOLD,-7.010831,-6.09e-07,6.3989887
day_of_month,LSTM,DeepLIFTSHAP,5.7124686,HOUSEHOLD,45.82844,3.98e-06,4.76082
state_snap,LSTM,DeepLIFTSHAP,4.760081,HOUSEHOLD,61.108543,5.31e-06,3.315864
event_type_1,LSTM,DeepLIFTSHAP,1.5555564,HOUSEHOLD,2.9543264,2.57e-07,1.5571905
sell_price,LSTM,DeepLIFTSHAP,1.195411,HOUSEHOLD,1.2767013,1.11e-07,1.0730164
event_name_1,LSTM,DeepLIFTSHAP,1.040025,HOUSEHOLD,2.3700645,2.06e-07,1.6883222
state_gas_wow_delta,LSTM,DeepLIFTSHAP,0.006624778,HOUSEHOLD,0.010369065,9.01e-10,0.2248769
state_ur_mom_delta,LSTM,DeepLIFTSHAP,0.0,HOUSEHOLD,0.0,0.0,0.0
state_cpi_mom_delta,LSTM,DeepLIFTSHAP,0.0,HOUSEHOLD,0.0,0.0,0.0
event_type_2,LSTM,DeepLIFTSHAP,0.0,HOUSEHOLD,0.0,0.0,0.0
event_name_2,LSTM,DeepLIFTSHAP,0.0,HOUSEHOLD,0.0,0.0,0.0
item_category,LSTM,DeepLIFTSHAP,0.0,HOUSEHOLD,0.0,0.0,0.0
state_snap,Transformer,DeepLIFT,12.959663,base,13.108395,6.886471e-07,10.822905
day_of_week,Transformer,DeepLIFT,11.340642,base,41.54048,2.1823216e-06,10.975739
month,Transformer,DeepLIFT,10.787762,base,5.545503,2.91332e-07,9.355492
state_cpi,Transformer,DeepLIFT,10.387815,base,7.6982327,4.0442524e-07,9.910491
day_of_month,Transformer,DeepLIFT,9.688091,base,-8.18327,-4.299066e-07,8.401769
item_category,Transformer,DeepLIFT,9.427276,base,10.141406,5.327769e-07,8.03611
state_ur,Transformer,DeepLIFT,7.490786,base,7.099513,3.729716e-07,8.405994
state_gas_price,Transformer,DeepLIFT,6.7808747,base,4.2287765,2.2215798e-07,6.492286
consumer_sentiment,Transformer,DeepLIFT,6.6191697,base,2.3510008,1.235094e-07,8.6156645
event_type_1,Transformer,DeepLIFT,5.7767906,base,21.847103,1.1477335e-06,7.8206234
event_name_1,Transformer,DeepLIFT,5.662297,base,-25.858154,-1.3584535e-06,8.246089
sell_price,Transformer,DeepLIFT,2.8686922,base,15.801404,8.3012384e-07,2.3359601
state_ur_mom_delta,Transformer,DeepLIFT,0.1298464,base,3.6403809,1.9124674e-07,0.37636554
state_cpi_mom_delta,Transformer,DeepLIFT,0.040496353,base,1.2046509,6.328611e-08,0.14605659
state_gas_wow_delta,Transformer,DeepLIFT,0.039801437,base,-0.16543187,-8.690933e-09,0.05845236
event_name_2,Transformer,DeepLIFT,0.0,base,0.0,0.0,0.0
event_type_2,Transformer,DeepLIFT,0.0,base,0.0,0.0,0.0
state_snap,Transformer,DeepLIFT,14.328811,baseNoCats,14.941135,7.1032395e-07,11.776619
day_of_week,Transformer,DeepLIFT,12.459733,baseNoCats,46.374596,2.2047177e-06,11.8645
month,Transformer,DeepLIFT,11.905957,baseNoCats,6.0850205,2.89291e-07,10.150267
state_cpi,Transformer,DeepLIFT,11.457753,baseNoCats,8.698751,4.1355167e-07,10.750465
day_of_month,Transformer,DeepLIFT,10.712928,baseNoCats,-8.847221,-4.2061018e-07,9.130874
state_ur,Transformer,DeepLIFT,8.278508,baseNoCats,7.898026,3.7548398e-07,9.160727
state_gas_price,Transformer,DeepLIFT,7.498308,baseNoCats,4.360942,2.073257e-07,7.0813904
consumer_sentiment,Transformer,DeepLIFT,7.317456,baseNoCats,2.7586453,1.3115013e-07,9.39984
event_type_1,Transformer,DeepLIFT,6.3773065,baseNoCats,24.219498,1.1514312e-06,8.490827
event_name_1,Transformer,DeepLIFT,6.258145,baseNoCats,-28.693352,-1.364125e-06,8.955308
sell_price,Transformer,DeepLIFT,3.1722095,baseNoCats,17.013525,8.088484e-07,2.5475159
state_ur_mom_delta,Transformer,DeepLIFT,0.14391907,baseNoCats,4.040014,1.920683e-07,0.4508516
state_cpi_mom_delta,Transformer,DeepLIFT,0.04488113,baseNoCats,1.3348198,6.345933e-08,0.17044121
state_gas_wow_delta,Transformer,DeepLIFT,0.044076934,baseNoCats,-0.18439707,-8.766513e-09,0.07036582
event_name_2,Transformer,DeepLIFT,0.0,baseNoCats,0.0,0.0,0.0
event_type_2,Transformer,DeepLIFT,0.0,baseNoCats,0.0,0.0,0.0
state_snap,Transformer,DeepLIFT,12.848184,FOODS,8.54468,7.1435096e-07,10.878491
day_of_week,Transformer,DeepLIFT,11.476243,FOODS,28.158012,2.3540617e-06,11.226639
month,Transformer,DeepLIFT,10.716424,FOODS,3.0531955,2.552528e-07,9.425142
state_cpi,Transformer,DeepLIFT,10.375429,FOODS,4.675308,3.908644e-07,10.070731
item_category,Transformer,DeepLIFT,10.138244,FOODS,20.187994,1.6877536e-06,7.8199787
day_of_month,Transformer,DeepLIFT,9.533468,FOODS,-5.7596908,-4.815208e-07,8.373408
state_ur,Transformer,DeepLIFT,7.4145966,FOODS,4.4649887,3.732813e-07,8.470885
state_gas_price,Transformer,DeepLIFT,6.71278,FOODS,2.4639952,2.0599454e-07,6.5413303
consumer_sentiment,Transformer,DeepLIFT,6.5707126,FOODS,1.5201437,1.2708682e-07,8.693971
event_type_1,Transformer,DeepLIFT,5.802696,FOODS,14.277437,1.19362e-06,8.019371
event_name_1,Transformer,DeepLIFT,5.660775,FOODS,-17.343904,-1.4499824e-06,8.392881
sell_price,Transformer,DeepLIFT,2.5486026,FOODS,32.76481,2.7391984e-06,1.9185135
state_ur_mom_delta,Transformer,DeepLIFT,0.123152405,FOODS,2.3188953,1.9386393e-07,0.086701356
state_gas_wow_delta,Transformer,DeepLIFT,0.039472435,FOODS,-0.10831517,-9.055348e-09,0.05901495
state_cpi_mom_delta,Transformer,DeepLIFT,0.03921861,FOODS,0.7824583,6.541496e-08,0.022943791
event_name_2,Transformer,DeepLIFT,0.0,FOODS,0.0,0.0,0.0
event_type_2,Transformer,DeepLIFT,0.0,FOODS,0.0,0.0,0.0
state_snap,Transformer,DeepLIFT,13.96941,HOBBIES,18.068413,6.801528e-07,11.462821
day_of_week,Transformer,DeepLIFT,12.106768,HOBBIES,56.991386,2.145338e-06,11.468383
month,Transformer,DeepLIFT,11.615906,HOBBIES,8.16516,3.073627e-07,9.96935
state_cpi,Transformer,DeepLIFT,11.201238,HOBBIES,11.394635,4.2893046e-07,10.5293255
day_of_month,Transformer,DeepLIFT,10.451147,HOBBIES,-10.654428,-4.010667e-07,8.894085
state_ur,Transformer,DeepLIFT,8.049066,HOBBIES,10.404984,3.9167685e-07,8.913979
state_gas_price,Transformer,DeepLIFT,7.2898192,HOBBIES,5.701622,2.1462726e-07,6.8725386
consumer_sentiment,Transformer,DeepLIFT,7.119694,HOBBIES,2.836156,1.06761966e-07,9.106304
event_type_1,Transformer,DeepLIFT,6.2020464,HOBBIES,29.999992,1.1292956e-06,8.242572
event_name_1,Transformer,DeepLIFT,6.0758357,HOBBIES,-35.873802,-1.3504045e-06,8.636228
sell_price,Transformer,DeepLIFT,4.0777025,HOBBIES,-0.3539781,-1.33248665e-08,3.2131433
item_category,Transformer,DeepLIFT,1.5793794,HOBBIES,-4.238981,-1.5956877e-07,1.1744957
state_ur_mom_delta,Transformer,DeepLIFT,0.16970536,HOBBIES,5.941355,2.236516e-07,0.9899621
state_cpi_mom_delta,Transformer,DeepLIFT,0.049316026,HOBBIES,1.8478944,6.956065e-08,0.45867768
state_gas_wow_delta,Transformer,DeepLIFT,0.0429542,HOBBIES,-0.23041195,-8.6734415e-09,0.06813435
event_name_2,Transformer,DeepLIFT,0.0,HOBBIES,0.0,0.0,0.0
event_type_2,Transformer,DeepLIFT,0.0,HOBBIES,0.0,0.0,0.0
state_snap,Transformer,DeepLIFT,12.611978,HOUSEHOLD,37.957527,6.580333e-07,10.79721
item_category,Transformer,DeepLIFT,12.336495,HOUSEHOLD,-37.894478,-6.569403e-07,9.516187
day_of_week,Transformer,DeepLIFT,10.72925,HOUSEHOLD,113.34603,1.9649717e-06,10.612331
month,Transformer,DeepLIFT,10.470439,HOUSEHOLD,16.326616,2.8303893e-07,9.275762
state_cpi,Transformer,DeepLIFT,10.002937,HOUSEHOLD,22.26021,3.8590397e-07,9.67197
day_of_month,Transformer,DeepLIFT,9.553679,HOUSEHOLD,-20.427984,-3.541404e-07,8.4839945
state_ur,Transformer,DeepLIFT,7.3438196,HOUSEHOLD,21.355904,3.7022687e-07,8.475074
state_gas_price,Transformer,DeepLIFT,6.625811,HOUSEHOLD,12.215347,2.117658e-07,6.4698176
consumer_sentiment,Transformer,DeepLIFT,6.4268975,HOUSEHOLD,7.0273504,1.2182645e-07,8.505871
event_type_1,Transformer,DeepLIFT,5.5168157,HOUSEHOLD,63.78476,1.1057754e-06,7.5390167
event_name_1,Transformer,DeepLIFT,5.4373784,HOUSEHOLD,-72.583275,-1.2583068e-06,7.9829497
sell_price,Transformer,DeepLIFT,2.7470558,HOUSEHOLD,-76.07242,-1.3187947e-06,2.4946473
state_ur_mom_delta,Transformer,DeepLIFT,0.120212816,HOUSEHOLD,9.866699,1.7104954e-07,0.08587961
state_gas_wow_delta,Transformer,DeepLIFT,0.03877965,HOUSEHOLD,-0.49226257,-8.533885e-09,0.06573518
state_cpi_mom_delta,Transformer,DeepLIFT,0.03845269,HOUSEHOLD,3.3299665,5.7728442e-08,0.023552058
event_name_2,Transformer,DeepLIFT,0.0,HOUSEHOLD,0.0,0.0,0.0
event_type_2,Transformer,DeepLIFT,0.0,HOUSEHOLD,0.0,0.0,0.0
event_name_1,Transformer,IntegratedGradients,13.449131,base,-24.441,-7.1276776e-07,16.256565
day_of_week,Transformer,IntegratedGradients,13.353172,base,38.08122,1.1105545e-06,14.460057
event_type_1,Transformer,IntegratedGradients,13.2655325,base,21.39752,6.2401136e-07,14.826873
day_of_month,Transformer,IntegratedGradients,11.6785145,base,-7.425483,-2.1654779e-07,6.1406374
state_snap,Transformer,IntegratedGradients,7.7059126,base,12.576268,3.6675905e-07,7.0382776
month,Transformer,IntegratedGradients,6.9282374,base,5.405857,1.5764986e-07,6.588342
sell_price,Transformer,IntegratedGradients,6.6949487,base,15.8686,4.6277262e-07,4.295459
state_ur,Transformer,IntegratedGradients,6.689959,base,6.7010283,1.9542068e-07,10.434517
state_cpi,Transformer,IntegratedGradients,6.0186124,base,7.640425,2.228161e-07,4.6072183
item_category,Transformer,IntegratedGradients,5.492361,base,9.676112,2.821824e-07,3.7557263
consumer_sentiment,Transformer,IntegratedGradients,4.729538,base,2.1717858,6.3335335e-08,7.646472
state_gas_price,Transformer,IntegratedGradients,3.5978303,base,3.9511752,1.1522729e-07,2.9439957
state_ur_mom_delta,Transformer,IntegratedGradients,0.27981916,base,6.5133004,1.8994601e-07,0.67656183
state_cpi_mom_delta,Transformer,IntegratedGradients,0.09327013,base,2.179569,6.356231e-08,0.29360032
state_gas_wow_delta,Transformer,IntegratedGradients,0.023169165,base,-0.29637307,-8.643066e-09,0.035696
event_name_2,Transformer,IntegratedGradients,0.0,base,0.0,0.0,0.0
event_type_2,Transformer,IntegratedGradients,0.0,base,0.0,0.0,0.0
event_name_1,Transformer,IntegratedGradients,14.232456,baseNoCats,-27.211803,-7.126232e-07,16.898602
day_of_week,Transformer,IntegratedGradients,14.130193,baseNoCats,42.460926,1.1119675e-06,15.024692
event_type_1,Transformer,IntegratedGradients,14.035625,baseNoCats,23.81104,6.2356395e-07,15.405017
day_of_month,Transformer,IntegratedGradients,12.363836,baseNoCats,-8.289999,-2.1709863e-07,6.3729787
state_snap,Transformer,IntegratedGradients,8.154269,baseNoCats,14.040666,3.676972e-07,7.3054714
month,Transformer,IntegratedGradients,7.3274417,baseNoCats,6.1366262,1.6070608e-07,6.8455734
sell_price,Transformer,IntegratedGradients,7.0925975,baseNoCats,16.854996,4.4139892e-07,4.4857635
state_ur,Transformer,IntegratedGradients,7.0755496,baseNoCats,7.5438952,1.9755967e-07,10.838258
state_cpi,Transformer,IntegratedGradients,6.365758,baseNoCats,8.404448,2.2009583e-07,4.7795677
consumer_sentiment,Transformer,IntegratedGradients,5.000852,baseNoCats,2.454851,6.4287676e-08,7.9387484
state_gas_price,Transformer,IntegratedGradients,3.802179,baseNoCats,4.4484477,1.16496025e-07,3.0531414
state_ur_mom_delta,Transformer,IntegratedGradients,0.2959919,baseNoCats,7.2489753,1.898363e-07,0.7012387
state_cpi_mom_delta,Transformer,IntegratedGradients,0.09872534,baseNoCats,2.4270191,6.355882e-08,0.31319994
state_gas_wow_delta,Transformer,IntegratedGradients,0.02452075,baseNoCats,-0.33008188,-8.64419e-09,0.037752084
event_name_2,Transformer,IntegratedGradients,0.0,baseNoCats,0.0,0.0,0.0
event_type_2,Transformer,IntegratedGradients,0.0,baseNoCats,0.0,0.0,0.0
event_name_1,Transformer,IntegratedGradients,13.513128,FOODS,-12.212799,-7.4565594e-07,17.060211
day_of_week,Transformer,IntegratedGradients,13.432355,FOODS,19.198679,1.1721809e-06,14.684723
event_type_1,Transformer,IntegratedGradients,13.285424,FOODS,10.555369,6.444611e-07,14.914928
day_of_month,Transformer,IntegratedGradients,11.75104,FOODS,-3.8684447,-2.3618901e-07,6.287739
state_snap,Transformer,IntegratedGradients,7.7643113,FOODS,6.1255207,3.7399545e-07,7.2711787
month,Transformer,IntegratedGradients,6.962228,FOODS,2.5551348,1.5600449e-07,6.7138286
state_ur,Transformer,IntegratedGradients,6.709063,FOODS,3.2159512,1.9635083e-07,10.760961
state_cpi,Transformer,IntegratedGradients,6.0848637,FOODS,3.660447,2.2348964e-07,4.7258363
item_category,Transformer,IntegratedGradients,5.8962703,FOODS,23.116827,1.4114046e-06,3.3468027
sell_price,Transformer,IntegratedGradients,5.8572474,FOODS,40.780693,2.489877e-06,3.154028
consumer_sentiment,Transformer,IntegratedGradients,4.754239,FOODS,1.008848,6.15955e-08,7.936279
state_gas_price,Transformer,IntegratedGradients,3.6102328,FOODS,1.9016834,1.16107834e-07,2.9860961
state_ur_mom_delta,Transformer,IntegratedGradients,0.26660222,FOODS,3.070688,1.8748175e-07,0.09926937
state_cpi_mom_delta,Transformer,IntegratedGradients,0.08983148,FOODS,1.034668,6.317195e-08,0.022461414
state_gas_wow_delta,Transformer,IntegratedGradients,0.023165967,FOODS,-0.1432683,-8.747287e-09,0.035661507
event_name_2,Transformer,IntegratedGradients,0.0,FOODS,0.0,0.0,0.0
event_type_2,Transformer,IntegratedGradients,0.0,FOODS,0.0,0.0,0.0
day_of_week,Transformer,IntegratedGradients,13.742561,HOBBIES,79.68454,1.0844751e-06,14.506253
event_name_1,Transformer,IntegratedGradients,13.650733,HOBBIES,-51.264412,-6.976884e-07,16.466288
event_type_1,Transformer,IntegratedGradients,13.41891,HOBBIES,44.626453,6.073484e-07,14.737493
day_of_month,Transformer,IntegratedGradients,11.9186325,HOBBIES,-15.757964,-2.1445966e-07,6.1402097
sell_price,Transformer,IntegratedGradients,9.21878,HOBBIES,-49.83754,-6.7826926e-07,5.7515507
state_snap,Transformer,IntegratedGradients,7.904136,HOBBIES,26.783216,3.64509e-07,7.0473313
month,Transformer,IntegratedGradients,7.11853,HOBBIES,12.095152,1.6461024e-07,6.6224947
state_ur,Transformer,IntegratedGradients,6.93546,HOBBIES,15.13,2.0591331e-07,10.635955
state_cpi,Transformer,IntegratedGradients,6.164318,HOBBIES,16.429447,2.235983e-07,4.5997643
consumer_sentiment,Transformer,IntegratedGradients,4.880176,HOBBIES,4.300617,5.8529697e-08,7.784682
state_gas_price,Transformer,IntegratedGradients,3.6961575,HOBBIES,8.492049,1.1557343e-07,2.9324903
item_category,Transformer,IntegratedGradients,0.8781587,HOBBIES,-11.642027,-1.5844338e-07,0.49160415
state_ur_mom_delta,Transformer,IntegratedGradients,0.34420928,HOBBIES,16.454782,2.239431e-07,1.5550058
state_cpi_mom_delta,Transformer,IntegratedGradients,0.10556484,HOBBIES,5.132153,6.984657e-08,0.6904879
state_gas_wow_delta,Transformer,IntegratedGradients,0.023664827,HOBBIES,-0.62647307,-8.526051e-09,0.038395885
event_name_2,Transformer,IntegratedGradients,0.0,HOBBIES,0.0,0.0,0.0
event_type_2,Transformer,IntegratedGradients,0.0,HOBBIES,0.0,0.0,0.0
day_of_week,Transformer,IntegratedGradients,13.171085,HOUSEHOLD,-158.00351,1.0326106e-06,14.407596
event_name_1,Transformer,IntegratedGradients,13.02067,HOUSEHOLD,102.800606,-6.718395e-07,16.180723
event_type_1,Transformer,IntegratedGradients,12.797873,HOUSEHOLD,-91.81437,6.0004044e-07,14.558321
day_of_month,Transformer,IntegratedGradients,11.411017,HOUSEHOLD,30.439419,-1.9893272e-07,6.093258
state_snap,Transformer,IntegratedGradients,7.544347,HOUSEHOLD,-54.78136,3.580162e-07,6.9032097
item_category,Transformer,IntegratedGradients,7.4301643,HOUSEHOLD,157.57446,-1.0298066e-06,4.430266
month,Transformer,IntegratedGradients,6.844118,HOUSEHOLD,-23.96367,1.5661134e-07,6.60869
state_ur,Transformer,IntegratedGradients,6.703753,HOUSEHOLD,-29.051086,1.8985946e-07,10.6738825
sell_price,Transformer,IntegratedGradients,6.560385,HOUSEHOLD,262.19043,-1.7135103e-06,4.7500105
state_cpi,Transformer,IntegratedGradients,5.8889093,HOUSEHOLD,-33.062595,2.1607613e-07,4.55143
consumer_sentiment,Transformer,IntegratedGradients,4.679711,HOUSEHOLD,-10.100254,6.600885e-08,7.731031
state_gas_price,Transformer,IntegratedGradients,3.5782788,HOUSEHOLD,-17.686453,1.1558742e-07,2.9557784
state_ur_mom_delta,Transformer,IntegratedGradients,0.2594746,HOUSEHOLD,-26.818493,1.7526864e-07,0.095395826
state_cpi_mom_delta,Transformer,IntegratedGradients,0.08741236,HOUSEHOLD,-9.03467,5.9044865e-08,0.021743186
state_gas_wow_delta,Transformer,IntegratedGradients,0.02280629,HOUSEHOLD,1.31154,-8.5713925e-09,0.038671385
event_name_2,Transformer,IntegratedGradients,0.0,HOUSEHOLD,-0.0,0.0,0.0
event_type_2,Transformer,IntegratedGradients,0.0,HOUSEHOLD,-0.0,0.0,0.0
day_of_week,Transformer,GradientSHAP,13.150578,base,37.55844,-1.9212713e-07,13.994005
event_name_1,Transformer,GradientSHAP,11.537193,base,37.01404,-1.8934232e-07,15.92123
event_type_1,Transformer,GradientSHAP,11.305317,base,-12.273902,6.278614e-08,14.528961
day_of_month,Transformer,GradientSHAP,11.168351,base,11.260041,-5.7599824e-08,6.3521786
state_snap,Transformer,GradientSHAP,8.473485,base,2.3685212,-1.2115977e-08,7.1106563
month,Transformer,GradientSHAP,7.758134,base,-40.95421,2.0949791e-07,6.6510625
state_cpi,Transformer,GradientSHAP,7.21215,base,-28.909195,1.4788262e-07,4.978356
state_ur,Transformer,GradientSHAP,7.038371,base,-109.13065,5.582489e-07,10.214255
item_category,Transformer,GradientSHAP,6.1919374,base,4.9294643,-2.5216272e-08,4.1193624
sell_price,Transformer,GradientSHAP,5.748608,base,188.94508,-9.665331e-07,4.60183
consumer_sentiment,Transformer,GradientSHAP,5.7419972,base,34.531307,-1.7664208e-07,7.34981
state_gas_price,Transformer,GradientSHAP,4.6135573,base,-28.950462,1.4809372e-07,3.1600037
state_ur_mom_delta,Transformer,GradientSHAP,0.053480767,base,4.1055408,-2.1001558e-08,0.69537574
state_gas_wow_delta,Transformer,GradientSHAP,0.004501572,base,-0.15679324,8.0206297e-10,0.04237388
state_cpi_mom_delta,Transformer,GradientSHAP,0.002338633,base,-0.33722106,1.7250268e-09,0.28054526
event_name_2,Transformer,GradientSHAP,0.0,base,-0.0,0.0,0.0
event_type_2,Transformer,GradientSHAP,0.0,base,-0.0,0.0,0.0
day_of_week,Transformer,GradientSHAP,14.205079,baseNoCats,-200.06892,-4.0571507e-07,14.872432
event_name_1,Transformer,GradientSHAP,12.22643,baseNoCats,-78.02555,-1.5822617e-07,16.587618
event_type_1,Transformer,GradientSHAP,12.105324,baseNoCats,57.799194,1.1720963e-07,15.210517
day_of_month,Transformer,GradientSHAP,11.7790165,baseNoCats,-55.13293,-1.1180277e-07,6.5543046
state_snap,Transformer,GradientSHAP,9.012374,baseNoCats,34.971027,7.091692e-08,7.486457
month,Transformer,GradientSHAP,8.102872,baseNoCats,31.821499,6.453007e-08,6.921442
state_cpi,Transformer,GradientSHAP,7.543951,baseNoCats,-68.7059,-1.3932708e-07,5.0561213
state_ur,Transformer,GradientSHAP,7.484681,baseNoCats,395.02322,8.010583e-07,10.824258
sell_price,Transformer,GradientSHAP,6.28371,baseNoCats,-75.59392,-1.5329513e-07,4.4987416
consumer_sentiment,Transformer,GradientSHAP,6.0941434,baseNoCats,-58.6817,-1.1899924e-07,7.6266184
state_gas_price,Transformer,GradientSHAP,5.1407776,baseNoCats,113.64206,2.3045206e-07,3.3762224
state_ur_mom_delta,Transformer,GradientSHAP,0.018609935,baseNoCats,2.1350152,4.3295474e-09,0.66226214
state_cpi_mom_delta,Transformer,GradientSHAP,0.0024865645,baseNoCats,0.8040289,1.6304713e-09,0.28969628
state_gas_wow_delta,Transformer,GradientSHAP,0.0005384069,baseNoCats,0.012869223,2.6097196e-11,0.03330639
event_name_2,Transformer,GradientSHAP,0.0,baseNoCats,0.0,0.0,0.0
event_type_2,Transformer,GradientSHAP,0.0,baseNoCats,0.0,0.0,0.0
day_of_week,Transformer,GradientSHAP,14.354435,FOODS,135.13268,-4.5869757e-07,14.813216
event_name_1,Transformer,GradientSHAP,12.448068,FOODS,13.729513,-4.6603784e-08,17.32503
event_type_1,Transformer,GradientSHAP,12.435679,FOODS,-21.30203,7.230812e-08,15.545167
day_of_month,Transformer,GradientSHAP,12.227448,FOODS,33.744415,-1.1454284e-07,6.7523794
state_snap,Transformer,GradientSHAP,9.326946,FOODS,5.28648,-1.7944553e-08,7.702058
month,Transformer,GradientSHAP,8.339305,FOODS,10.834874,-3.6778154e-08,7.1053677
state_cpi,Transformer,GradientSHAP,7.9115205,FOODS,-40.599056,1.378104e-07,5.2923164
state_ur,Transformer,GradientSHAP,7.787341,FOODS,-48.770477,1.6554768e-07,10.886351
consumer_sentiment,Transformer,GradientSHAP,6.001962,FOODS,94.662766,-3.2132556e-07,7.9802403
state_gas_price,Transformer,GradientSHAP,4.952777,FOODS,-33.57531,1.1396883e-07,3.3142142
sell_price,Transformer,GradientSHAP,4.214039,FOODS,-49.14433,1.6681668e-07,3.2526407
state_gas_wow_delta,Transformer,GradientSHAP,0.00048383095,FOODS,0.0004796903,-1.6282721e-12,0.031023083
state_ur_mom_delta,Transformer,GradientSHAP,0.0,FOODS,-0.0,0.0,0.0
