feature,model,method,sens_pct,sub_method,dir_pct,dir_abs,var_pct
state_cpi_mom_delta,LSTM,DeepLIFT,0.16090159,HOBBIES,-3.1385865,-2.37e-07,1.1381152
event_name_2,LSTM,DeepLIFT,0.0,HOBBIES,0.0,0.0,0.0
event_type_2,LSTM,DeepLIFT,0.0,HOBBIES,0.0,0.0,0.0
item_category,LSTM,DeepLIFT,36.086784,HOUSEHOLD,45.669518,5.42e-06,37.687115
day_of_week,LSTM,DeepLIFT,19.174698,HOUSEHOLD,-1.3158222,-1.56e-07,9.885318
state_ur,LSTM,DeepLIFT,14.015924,HOUSEHOLD,1.902924,2.26e-07,17.070637
state_cpi,LSTM,DeepLIFT,6.3908167,HOUSEHOLD,-5.224324,-6.21e-07,6.751233
consumer_sentiment,LSTM,DeepLIFT,4.9908767,HOUSEHOLD,6.1588993,7.32e-07,8.353373
state_gas_price,LSTM,DeepLIFT,4.6761265,HOUSEHOLD,-6.716091,-7.98e-07,5.792634
month,LSTM,DeepLIFT,4.412899,HOUSEHOLD,-5.7932224,-6.88e-07,4.868452
day_of_month,LSTM,DeepLIFT,3.7529912,HOUSEHOLD,29.311731,3.48e-06,3.5203152
state_snap,LSTM,DeepLIFT,3.3882153,HOUSEHOLD,42.32017,5.03e-06,2.6074238
event_type_1,LSTM,DeepLIFT,1.0972371,HOUSEHOLD,2.511359,2.98e-07,1.0776099
event_name_1,LSTM,DeepLIFT,0.7668594,HOUSEHOLD,1.7235,2.05e-07,1.22539
sell_price,LSTM,DeepLIFT,0.74671066,HOUSEHOLD,-2.1693966,-2.58e-07,0.73624665
state_ur_mom_delta,LSTM,DeepLIFT,0.2679631,HOUSEHOLD,-4.9594803,-5.89e-07,0.27788803
state_gas_wow_delta,LSTM,DeepLIFT,0.14501086,HOUSEHOLD,-1.8952893,-2.25e-07,0.12317301
state_cpi_mom_delta,LSTM,DeepLIFT,0.08688833,HOUSEHOLD,-1.5244707,-1.81e-07,0.02319243
event_name_2,LSTM,DeepLIFT,0.0,HOUSEHOLD,0.0,0.0,0.0
event_type_2,LSTM,DeepLIFT,0.0,HOUSEHOLD,0.0,0.0,0.0
item_category,LSTM,IntegratedGradients,29.893728,base,33.83776,1.81e-06,36.42888
day_of_week,LSTM,IntegratedGradients,22.012045,base,-1.9617906,-1.05e-07,11.039252
state_ur,LSTM,IntegratedGradients,16.840736,base,3.3174813,1.78e-07,19.914783
state_cpi,LSTM,IntegratedGradients,7.386267,base,-6.2081814,-3.33e-07,6.733803
consumer_sentiment,LSTM,IntegratedGradients,5.392328,base,7.856168,4.21e-07,8.183679
state_gas_price,LSTM,IntegratedGradients,4.8400497,base,-7.8126035,-4.19e-07,5.5465994
month,LSTM,IntegratedGradients,4.4615097,base,-6.1555195,-3.3e-07,3.8151047
state_snap,LSTM,IntegratedGradients,3.3198462,base,54.04128,2.9e-06,1.5929265
day_of_month,LSTM,IntegratedGradients,2.976985,base,35.01699,1.88e-06,2.532705
event_type_1,LSTM,IntegratedGradients,1.0008502,base,3.2553787,1.75e-07,0.8657944
sell_price,LSTM,IntegratedGradients,0.8017164,base,1.8096404,9.71e-08,0.63024974
event_name_1,LSTM,IntegratedGradients,0.46342427,base,1.8770611,1.01e-07,0.5876372
state_ur_mom_delta,LSTM,IntegratedGradients,0.34378165,base,-11.703938,-6.28e-07,1.5489147
state_gas_wow_delta,LSTM,IntegratedGradients,0.16087085,base,-3.680802,-1.97e-07,0.12870987
state_cpi_mom_delta,LSTM,IntegratedGradients,0.10586044,base,-3.4889288,-1.87e-07,0.45095378
event_name_2,LSTM,IntegratedGradients,0.0,base,0.0,0.0,0.0
event_type_2,LSTM,IntegratedGradients,0.0,base,0.0,0.0,0.0
day_of_week,LSTM,IntegratedGradients,31.241295,baseNoCats,-3.0490122,-1.08e-07,17.251158
state_ur,LSTM,IntegratedGradients,24.144073,baseNoCats,5.022072,1.77e-07,31.469976
state_cpi,LSTM,IntegratedGradients,10.585524,baseNoCats,-9.486602,-3.35e-07,10.644605
consumer_sentiment,LSTM,IntegratedGradients,7.723489,baseNoCats,11.983623,4.23e-07,12.950295
