feature,method,sens_pct,sub_method,dir_pct,dir_abs,var_pct
event_name_1,DeepLIFT,0.8852732,FOODS,1.4517907,1.96E-07,1.2463055
sell_price,DeepLIFT,0.669488,FOODS,4.039128,5.46E-07,0.4937186
state_ur_mom_delta,DeepLIFT,0.29393002,FOODS,-4.4805784,-6.06E-07,0.30118737
state_gas_wow_delta,DeepLIFT,0.1418488,FOODS,-1.2764298,-1.73E-07,0.108694725
state_cpi_mom_delta,DeepLIFT,0.08695387,FOODS,-1.3011621,-1.76E-07,0.026347319
event_name_2,DeepLIFT,0,FOODS,0,0,0
event_type_2,DeepLIFT,0,FOODS,0,0,0
day_of_week,DeepLIFT,27.339067,HOBBIES,-2.0311735,-1.53E-07,14.586565
state_ur,DeepLIFT,21.006607,HOBBIES,5.1278567,3.86E-07,24.408766
state_cpi,DeepLIFT,9.427041,HOBBIES,-8.628433,-6.50E-07,9.469238
consumer_sentiment,DeepLIFT,7.6264033,HOBBIES,10.548887,7.95E-07,12.130293
state_gas_price,DeepLIFT,6.4706845,HOBBIES,-10.846743,-8.17E-07,8.141721
month,DeepLIFT,6.4195604,HOBBIES,-8.646575,-6.52E-07,6.8479834
item_category,DeepLIFT,5.87905,HOBBIES,-0.9294479,-7.00E-08,6.372485
state_snap,DeepLIFT,5.740994,HOBBIES,74.727165,5.63E-06,3.7695158
day_of_month,DeepLIFT,5.222582,HOBBIES,48.027752,3.62E-06,4.734551
event_type_1,DeepLIFT,1.4995948,HOBBIES,4.4863067,3.38E-07,1.5017188
sell_price,DeepLIFT,1.4283929,HOBBIES,1.6816556,1.27E-07,1.2854381
event_name_1,DeepLIFT,1.0492395,HOBBIES,2.7116473,2.04E-07,1.481997
state_ur_mom_delta,DeepLIFT,0.52745336,HOBBIES,-10.448237,-7.87E-07,3.9803941
state_gas_wow_delta,DeepLIFT,0.20242491,HOBBIES,-2.6420758,-1.99E-07,0.15122038
state_cpi_mom_delta,DeepLIFT,0.16090159,HOBBIES,-3.1385865,-2.37E-07,1.1381152
event_name_2,DeepLIFT,0,HOBBIES,0,0,0
event_type_2,DeepLIFT,0,HOBBIES,0,0,0
item_category,DeepLIFT,36.086784,HOUSEHOLD,45.669518,5.42E-06,37.687115
day_of_week,DeepLIFT,19.174698,HOUSEHOLD,-1.3158222,-1.56E-07,9.885318
state_ur,DeepLIFT,14.015924,HOUSEHOLD,1.902924,2.26E-07,17.070637
state_cpi,DeepLIFT,6.3908167,HOUSEHOLD,-5.224324,-6.21E-07,6.751233
consumer_sentiment,DeepLIFT,4.9908767,HOUSEHOLD,6.1588993,7.32E-07,8.353373
state_gas_price,DeepLIFT,4.6761265,HOUSEHOLD,-6.716091,-7.98E-07,5.792634
month,DeepLIFT,4.412899,HOUSEHOLD,-5.7932224,-6.88E-07,4.868452
day_of_month,DeepLIFT,3.7529912,HOUSEHOLD,29.311731,3.48E-06,3.5203152
