feature,method,sens_pct,sub_method,dir_pct,dir_abs,var_pct
state_ur_mom_delta,DeepLIFTSHAP,0.18146642,HOBBIES,-1.7396222,-1.45E-07,4.9488263
state_cpi_mom_delta,DeepLIFTSHAP,0.10859887,HOBBIES,0.42417085,3.55E-08,1.4236782
state_gas_wow_delta,DeepLIFTSHAP,0.005096012,HOBBIES,0.004074364,3.41E-10,0.170096
event_type_2,DeepLIFTSHAP,0,HOBBIES,0,0,0
event_name_2,DeepLIFTSHAP,0,HOBBIES,0,0,0
item_category,DeepLIFTSHAP,0,HOBBIES,0,0,0
day_of_week,DeepLIFTSHAP,31.314833,HOUSEHOLD,-0.68548757,-5.95E-08,17.162064
state_ur,DeepLIFTSHAP,23.234034,HOUSEHOLD,2.9008281,2.52E-07,31.172329
state_cpi,DeepLIFTSHAP,10.379645,HOUSEHOLD,-7.747409,-6.73E-07,11.024309
state_gas_price,DeepLIFTSHAP,7.358393,HOUSEHOLD,-8.194701,-7.12E-07,8.988058
consumer_sentiment,DeepLIFTSHAP,7.065452,HOUSEHOLD,7.1891637,6.25E-07,12.634166
month,DeepLIFTSHAP,6.3774834,HOUSEHOLD,-7.010831,-6.09E-07,6.3989887
day_of_month,DeepLIFTSHAP,5.7124686,HOUSEHOLD,45.82844,3.98E-06,4.76082
state_snap,DeepLIFTSHAP,4.760081,HOUSEHOLD,61.108543,5.31E-06,3.315864
event_type_1,DeepLIFTSHAP,1.5555564,HOUSEHOLD,2.9543264,2.57E-07,1.5571905
sell_price,DeepLIFTSHAP,1.195411,HOUSEHOLD,1.2767013,1.11E-07,1.0730164
event_name_1,DeepLIFTSHAP,1.040025,HOUSEHOLD,2.3700645,2.06E-07,1.6883222
state_gas_wow_delta,DeepLIFTSHAP,0.006624778,HOUSEHOLD,0.010369065,9.01E-10,0.2248769
state_ur_mom_delta,DeepLIFTSHAP,0,HOUSEHOLD,0,0,0
state_cpi_mom_delta,DeepLIFTSHAP,0,HOUSEHOLD,0,0,0
event_type_2,DeepLIFTSHAP,0,HOUSEHOLD,0,0,0
event_name_2,DeepLIFTSHAP,0,HOUSEHOLD,0,0,0
item_category,DeepLIFTSHAP,0,HOUSEHOLD,0,0,0
