feature,method,sub_method,sens_pct,dir_pct,dir_abs,var_pct
item_category,Saliency,HOBBIES,2.008869,2.008869,3.6307207e-05,2.4641886
event_name_2,Saliency,HOUSEHOLD,18.547005,18.547005,0.00032125312,13.916096
sell_price,Saliency,HOUSEHOLD,12.076447,12.076447,0.00020917643,11.298077
event_type_2,Saliency,HOUSEHOLD,8.935797,8.935797,0.00015477715,7.8427644
state_cpi_mom_delta,Saliency,HOUSEHOLD,8.228908,8.228908,0.00014253311,7.732097
event_name_1,Saliency,HOUSEHOLD,7.567281,7.567281,0.00013107306,6.6615424
state_ur_mom_delta,Saliency,HOUSEHOLD,6.558375,6.558375,0.00011359778,7.515254
event_type_1,Saliency,HOUSEHOLD,6.277981,6.277981,0.00010874106,6.062387
consumer_sentiment,Saliency,HOUSEHOLD,3.7873774,3.7873774,6.5601256e-05,4.967069
state_cpi,Saliency,HOUSEHOLD,3.6941447,3.6941447,6.398637e-05,4.511003
day_of_month,Saliency,HOUSEHOLD,3.4799154,3.4799154,6.0275703e-05,3.8972654
month,Saliency,HOUSEHOLD,3.4715724,3.4715724,6.0131188e-05,4.1679273
day_of_week,Saliency,HOUSEHOLD,3.3044093,3.3044093,5.7235757e-05,4.088954
state_gas_wow_delta,Saliency,HOUSEHOLD,3.2622173,3.2622173,5.650495e-05,4.013905
state_gas_price,Saliency,HOUSEHOLD,3.1492815,3.1492815,5.4548782e-05,3.7770383
state_ur,Saliency,HOUSEHOLD,3.0345938,3.0345938,5.2562275e-05,3.9216638
state_snap,Saliency,HOUSEHOLD,2.6501882,2.6501882,4.5903977e-05,3.2126637
item_category,Saliency,HOUSEHOLD,1.9745058,1.9745058,3.4200464e-05,2.4142883
day_of_week,SmoothGrad,base,10.741383,10.741383,0.00029908586,9.047688
event_type_1,SmoothGrad,base,10.247894,10.247894,0.00028534504,11.276911
event_name_2,SmoothGrad,base,9.010175,9.010175,0.00025088165,8.250801
sell_price,SmoothGrad,base,8.170823,8.170823,0.00022751054,10.535467
consumer_sentiment,SmoothGrad,base,6.653262,6.653262,0.00018525516,7.90169
state_cpi_mom_delta,SmoothGrad,base,6.1179605,6.1179605,0.00017035009,4.2627463
state_ur,SmoothGrad,base,5.7767367,5.7767367,0.00016084895,5.7217045
state_cpi,SmoothGrad,base,5.7566595,5.7566595,0.00016028993,4.6309958
event_type_2,SmoothGrad,base,5.4971294,5.4971294,0.0001530635,5.030649
state_ur_mom_delta,SmoothGrad,base,5.481205,5.481205,0.0001526201,4.956894
day_of_month,SmoothGrad,base,5.45165,5.45165,0.00015179717,5.1462555
event_name_1,SmoothGrad,base,4.656643,4.656643,0.00012966078,4.9026484
month,SmoothGrad,base,4.404062,4.404062,0.00012262784,4.576853
state_gas_price,SmoothGrad,base,3.9756098,3.9756098,0.00011069791,3.9081573
state_gas_wow_delta,SmoothGrad,base,3.1690722,3.1690722,8.8240464e-05,3.4880836
state_snap,SmoothGrad,base,2.701961,2.701961,7.523411e-05,3.302751
item_category,SmoothGrad,base,2.1877694,2.1877694,6.091682e-05,3.0597045
day_of_week,SmoothGrad,baseNoCats,10.986889,10.986889,0.00029929107,9.328828
event_type_1,SmoothGrad,baseNoCats,10.472372,10.472372,0.00028527528,11.635699
event_name_2,SmoothGrad,baseNoCats,9.209246,9.209246,0.00025086675,8.51565
sell_price,SmoothGrad,baseNoCats,8.3633,8.3633,0.00022782257,10.878827
consumer_sentiment,SmoothGrad,baseNoCats,6.7957444,6.7957444,0.00018512119,8.148985
state_cpi_mom_delta,SmoothGrad,baseNoCats,6.2609563,6.2609563,0.00017055313,4.3943696
state_ur,SmoothGrad,baseNoCats,5.899299,5.899299,0.00016070134,5.899374
state_cpi,SmoothGrad,baseNoCats,5.8841057,5.8841057,0.00016028745,4.7731504
event_type_2,SmoothGrad,baseNoCats,5.6220627,5.6220627,0.0001531492,5.1903377
state_ur_mom_delta,SmoothGrad,baseNoCats,5.6011515,5.6011515,0.00015257957,5.1120477
day_of_month,SmoothGrad,baseNoCats,5.574828,5.574828,0.0001518625,5.3104067
event_name_1,SmoothGrad,baseNoCats,4.7594857,4.7594857,0.00012965196,5.0555425
month,SmoothGrad,baseNoCats,4.504111,4.504111,0.00012269536,4.719666
state_gas_price,SmoothGrad,baseNoCats,4.065912,4.065912,0.00011075849,4.0279255
state_gas_wow_delta,SmoothGrad,baseNoCats,3.2415972,3.2415972,8.830354e-05,3.6002915
state_snap,SmoothGrad,baseNoCats,2.7589393,2.7589393,7.515557e-05,3.4088957
day_of_week,SmoothGrad,FOODS,10.704549,10.704549,0.0002949494,9.066972
event_type_1,SmoothGrad,FOODS,10.184347,10.184347,0.00028061596,11.265905
event_name_2,SmoothGrad,FOODS,9.083654,9.083654,0.00025028785,8.283283
sell_price,SmoothGrad,FOODS,8.182909,8.182909,0.00022546902,10.475722
consumer_sentiment,SmoothGrad,FOODS,6.650098,6.650098,0.00018323447,7.8503757
state_cpi_mom_delta,SmoothGrad,FOODS,6.133671,6.133671,0.00016900503,4.246388
state_ur,SmoothGrad,FOODS,5.7639403,5.7639403,0.0001588176,5.7207417
state_cpi,SmoothGrad,FOODS,5.746345,5.746345,0.00015833278,4.681989
day_of_month,SmoothGrad,FOODS,5.4849496,5.4849496,0.00015113039,5.1643357
event_type_2,SmoothGrad,FOODS,5.4789143,5.4789143,0.0001509641,5.080597
state_ur_mom_delta,SmoothGrad,FOODS,5.462856,5.462856,0.00015052162,4.9829693
event_name_1,SmoothGrad,FOODS,4.6753755,4.6753755,0.00012882367,4.889791
month,SmoothGrad,FOODS,4.4421816,4.4421816,0.00012239831,4.5857763
state_gas_price,SmoothGrad,FOODS,3.9509149,3.9509149,0.00010886212,3.901332
state_gas_wow_delta,SmoothGrad,FOODS,3.161111,3.161111,8.7100154e-05,3.504296
state_snap,SmoothGrad,FOODS,2.6845336,2.6845336,7.39687e-05,3.2579367
item_category,SmoothGrad,FOODS,2.20965,2.20965,6.0883925e-05,3.0415864
day_of_week,SmoothGrad,HOBBIES,10.753875,10.753875,0.0002968139,9.04277
event_type_1,SmoothGrad,HOBBIES,10.253894,10.253894,0.0002830141,11.300318
event_name_2,SmoothGrad,HOBBIES,9.077003,9.077003,0.00025053113,8.259725
sell_price,SmoothGrad,HOBBIES,8.133021,8.133021,0.00022447662,10.547531
consumer_sentiment,SmoothGrad,HOBBIES,6.605486,6.605486,0.00018231566,7.8811235
state_cpi_mom_delta,SmoothGrad,HOBBIES,6.152646,6.152646,0.000169817,4.267518
state_cpi,SmoothGrad,HOBBIES,5.7562876,5.7562876,0.00015887726,4.6154547
state_ur,SmoothGrad,HOBBIES,5.752991,5.752991,0.00015878626,5.7106314
event_type_2,SmoothGrad,HOBBIES,5.47516,5.47516,0.00015111796,5.028116
state_ur_mom_delta,SmoothGrad,HOBBIES,5.4642935,5.4642935,0.00015081803,4.9513354
day_of_month,SmoothGrad,HOBBIES,5.4446397,5.4446397,0.00015027556,5.1475077
event_name_1,SmoothGrad,HOBBIES,4.6751027,4.6751027,0.00012903585,4.926545
month,SmoothGrad,HOBBIES,4.4202285,4.4202285,0.00012200117,4.5647492
state_gas_price,SmoothGrad,HOBBIES,4.0130787,4.0130787,0.00011076356,3.9123564
state_gas_wow_delta,SmoothGrad,HOBBIES,3.144585,3.144585,8.679258e-05,3.486
state_snap,SmoothGrad,HOBBIES,2.6982203,2.6982203,7.447262e-05,3.3125703
item_category,SmoothGrad,HOBBIES,2.1794903,2.1794903,6.015534e-05,3.045756
day_of_week,SmoothGrad,HOUSEHOLD,10.785657,10.785657,0.00030007723,9.01155
event_type_1,SmoothGrad,HOUSEHOLD,10.309975,10.309975,0.00028684284,11.299682
event_name_2,SmoothGrad,HOUSEHOLD,9.073936,9.073936,0.00025245393,8.224794
sell_price,SmoothGrad,HOUSEHOLD,8.082045,8.082045,0.00022485765,10.630367
consumer_sentiment,SmoothGrad,HOUSEHOLD,6.5655656,6.5655656,0.00018266636,7.935679
state_cpi_mom_delta,SmoothGrad,HOUSEHOLD,6.1674013,6.1674013,0.00017158868,4.2851663
