feature,method,sub_method,sens_pct,dir_pct,dir_abs,var_pct
state_cpi,DeepLIFT,HOUSEHOLD,10.002937,22.26021,3.8590397e-07,9.67197
day_of_month,DeepLIFT,HOUSEHOLD,9.553679,-20.427984,-3.541404e-07,8.4839945
state_ur,DeepLIFT,HOUSEHOLD,7.3438196,21.355904,3.7022687e-07,8.475074
state_gas_price,DeepLIFT,HOUSEHOLD,6.625811,12.215347,2.117658e-07,6.4698176
consumer_sentiment,DeepLIFT,HOUSEHOLD,6.4268975,7.0273504,1.2182645e-07,8.505871
event_type_1,DeepLIFT,HOUSEHOLD,5.5168157,63.78476,1.1057754e-06,7.5390167
event_name_1,DeepLIFT,HOUSEHOLD,5.4373784,-72.583275,-1.2583068e-06,7.9829497
sell_price,DeepLIFT,HOUSEHOLD,2.7470558,-76.07242,-1.3187947e-06,2.4946473
state_ur_mom_delta,DeepLIFT,HOUSEHOLD,0.120212816,9.866699,1.7104954e-07,0.08587961
state_gas_wow_delta,DeepLIFT,HOUSEHOLD,0.03877965,-0.49226257,-8.533885e-09,0.06573518
state_cpi_mom_delta,DeepLIFT,HOUSEHOLD,0.03845269,3.3299665,5.7728442e-08,0.023552058
event_name_2,DeepLIFT,HOUSEHOLD,0.0,0.0,0.0,0.0
event_type_2,DeepLIFT,HOUSEHOLD,0.0,0.0,0.0,0.0
event_name_1,IntegratedGradients,base,13.449131,-24.441,-7.1276776e-07,16.256565
day_of_week,IntegratedGradients,base,13.353172,38.08122,1.1105545e-06,14.460057
event_type_1,IntegratedGradients,base,13.2655325,21.39752,6.2401136e-07,14.826873
day_of_month,IntegratedGradients,base,11.6785145,-7.425483,-2.1654779e-07,6.1406374
state_snap,IntegratedGradients,base,7.7059126,12.576268,3.6675905e-07,7.0382776
month,IntegratedGradients,base,6.9282374,5.405857,1.5764986e-07,6.588342
sell_price,IntegratedGradients,base,6.6949487,15.8686,4.6277262e-07,4.295459
state_ur,IntegratedGradients,base,6.689959,6.7010283,1.9542068e-07,10.434517
state_cpi,IntegratedGradients,base,6.0186124,7.640425,2.228161e-07,4.6072183
item_category,IntegratedGradients,base,5.492361,9.676112,2.821824e-07,3.7557263
consumer_sentiment,IntegratedGradients,base,4.729538,2.1717858,6.3335335e-08,7.646472
state_gas_price,IntegratedGradients,base,3.5978303,3.9511752,1.1522729e-07,2.9439957
state_ur_mom_delta,IntegratedGradients,base,0.27981916,6.5133004,1.8994601e-07,0.67656183
state_cpi_mom_delta,IntegratedGradients,base,0.09327013,2.179569,6.356231e-08,0.29360032
state_gas_wow_delta,IntegratedGradients,base,0.023169165,-0.29637307,-8.643066e-09,0.035696
event_name_2,IntegratedGradients,base,0.0,0.0,0.0,0.0
event_type_2,IntegratedGradients,base,0.0,0.0,0.0,0.0
event_name_1,IntegratedGradients,baseNoCats,14.232456,-27.211803,-7.126232e-07,16.898602
day_of_week,IntegratedGradients,baseNoCats,14.130193,42.460926,1.1119675e-06,15.024692
event_type_1,IntegratedGradients,baseNoCats,14.035625,23.81104,6.2356395e-07,15.405017
day_of_month,IntegratedGradients,baseNoCats,12.363836,-8.289999,-2.1709863e-07,6.3729787
state_snap,IntegratedGradients,baseNoCats,8.154269,14.040666,3.676972e-07,7.3054714
month,IntegratedGradients,baseNoCats,7.3274417,6.1366262,1.6070608e-07,6.8455734
sell_price,IntegratedGradients,baseNoCats,7.0925975,16.854996,4.4139892e-07,4.4857635
state_ur,IntegratedGradients,baseNoCats,7.0755496,7.5438952,1.9755967e-07,10.838258
state_cpi,IntegratedGradients,baseNoCats,6.365758,8.404448,2.2009583e-07,4.7795677
consumer_sentiment,IntegratedGradients,baseNoCats,5.000852,2.454851,6.4287676e-08,7.9387484
state_gas_price,IntegratedGradients,baseNoCats,3.802179,4.4484477,1.16496025e-07,3.0531414
state_ur_mom_delta,IntegratedGradients,baseNoCats,0.2959919,7.2489753,1.898363e-07,0.7012387
state_cpi_mom_delta,IntegratedGradients,baseNoCats,0.09872534,2.4270191,6.355882e-08,0.31319994
state_gas_wow_delta,IntegratedGradients,baseNoCats,0.02452075,-0.33008188,-8.64419e-09,0.037752084
event_name_2,IntegratedGradients,baseNoCats,0.0,0.0,0.0,0.0
event_type_2,IntegratedGradients,baseNoCats,0.0,0.0,0.0,0.0
event_name_1,IntegratedGradients,FOODS,13.513128,-12.212799,-7.4565594e-07,17.060211
day_of_week,IntegratedGradients,FOODS,13.432355,19.198679,1.1721809e-06,14.684723
event_type_1,IntegratedGradients,FOODS,13.285424,10.555369,6.444611e-07,14.914928
day_of_month,IntegratedGradients,FOODS,11.75104,-3.8684447,-2.3618901e-07,6.287739
state_snap,IntegratedGradients,FOODS,7.7643113,6.1255207,3.7399545e-07,7.2711787
month,IntegratedGradients,FOODS,6.962228,2.5551348,1.5600449e-07,6.7138286
state_ur,IntegratedGradients,FOODS,6.709063,3.2159512,1.9635083e-07,10.760961
state_cpi,IntegratedGradients,FOODS,6.0848637,3.660447,2.2348964e-07,4.7258363
item_category,IntegratedGradients,FOODS,5.8962703,23.116827,1.4114046e-06,3.3468027
sell_price,IntegratedGradients,FOODS,5.8572474,40.780693,2.489877e-06,3.154028
consumer_sentiment,IntegratedGradients,FOODS,4.754239,1.008848,6.15955e-08,7.936279
state_gas_price,IntegratedGradients,FOODS,3.6102328,1.9016834,1.16107834e-07,2.9860961
state_ur_mom_delta,IntegratedGradients,FOODS,0.26660222,3.070688,1.8748175e-07,0.09926937
state_cpi_mom_delta,IntegratedGradients,FOODS,0.08983148,1.034668,6.317195e-08,0.022461414
state_gas_wow_delta,IntegratedGradients,FOODS,0.023165967,-0.1432683,-8.747287e-09,0.035661507
event_name_2,IntegratedGradients,FOODS,0.0,0.0,0.0,0.0
event_type_2,IntegratedGradients,FOODS,0.0,0.0,0.0,0.0
day_of_week,IntegratedGradients,HOBBIES,13.742561,79.68454,1.0844751e-06,14.506253
event_name_1,IntegratedGradients,HOBBIES,13.650733,-51.264412,-6.976884e-07,16.466288
event_type_1,IntegratedGradients,HOBBIES,13.41891,44.626453,6.073484e-07,14.737493
day_of_month,IntegratedGradients,HOBBIES,11.9186325,-15.757964,-2.1445966e-07,6.1402097
sell_price,IntegratedGradients,HOBBIES,9.21878,-49.83754,-6.7826926e-07,5.7515507
state_snap,IntegratedGradients,HOBBIES,7.904136,26.783216,3.64509e-07,7.0473313
month,IntegratedGradients,HOBBIES,7.11853,12.095152,1.6461024e-07,6.6224947
state_ur,IntegratedGradients,HOBBIES,6.93546,15.13,2.0591331e-07,10.635955
state_cpi,IntegratedGradients,HOBBIES,6.164318,16.429447,2.235983e-07,4.5997643
